學號,10101學籍狀態,10102學籍狀態,10201學籍狀態,10202學籍狀態,10301學籍狀態,10302學籍狀態,10401學籍狀態,10402學籍狀態,10101期中預警科目,10102期中預警科目,10201期中預警科目,10202期中預警科目,10301期中預警科目,10302期中預警科目,10401期中預警科目,10402期中預警科目,10101期中預警學分數,10102期中預警學分數,10201期中預警學分數,10202期中預警學分數,10301期中預警學分數,10302期中預警學分數,10401期中預警學分數,10402期中預警學分數,大一憂鬱篩檢
410176012,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176013,正常,正常,正常,正常,正常,正常,正常,正常,-,1.都市計畫; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176014,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176015,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,1.建築空間規劃與設計; ,-,-,-,-,0,0,0,2,0,0,0,0,-
410176016,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; 2.經濟學; ,1.不動產財務管理; 2.環境規劃; ,-,1.不動產投資; ,1.土地法; ,1.體育：桌球; ,1.體育：羽球; 2.營養與保健; ,3,6,4,0,2,2,0,2,-
410176017,正常,正常,正常,正常,正常,正常,正常,正常,1.經濟學; ,-,-,-,-,-,-,-,3,0,0,0,0,0,0,0,-
410176018,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176019,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176020,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176021,正常,正常,正常,正常,正常,正常,正常,正常,1.都市計畫; ,-,1.休閒與環境教育; 2.體育：室內飛輪; ,1.都市計畫; ,-,-,-,-,3,0,3,3,0,0,0,0,-
410176022,正常,正常,正常,正常,正常,正常,正常,正常,1.經濟學; 2.民法概要; ,1.民法概要; 2.經濟學; ,1.環境規劃; ,1.都市交通運輸計畫; ,-,-,-,-,6,6,2,2,0,0,0,0,-
410176023,正常,正常,正常,正常,正常,正常,正常,正常,-,1.都市計畫; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176024,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,1.分區使用管制; ,1.營養與保健; ,3,3,0,0,0,0,2,2,-
410176025,正常,正常,正常,正常,正常,正常,正常,正常,-,1.經濟學; ,1.土地法; 2.環境規劃; ,1.經濟學; ,-,-,-,1.電腦輔助繪圖; ,0,3,4,3,0,0,0,2,-
410176026,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; 2.經濟學; ,1.民法物權編（一）; ,-,-,-,-,-,3,6,2,0,0,0,0,0,-
410176027,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176028,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176029,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,1.不動產投資; ,-,1.華語教學方法與實務; ,-,0,0,0,0,2,0,2,0,★
410176030,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176031,正常,正常,正常,正常,正常,正常,正常,正常,-,1.都市計畫; ,1.土地法; ,-,-,-,-,-,0,3,2,0,0,0,0,0,-
410176032,休學,休學,正常,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176033,正常,正常,正常,正常,正常,正常,正常,正常,-,1.經濟學; 2.都市計畫; ,-,-,-,-,-,-,0,6,0,0,0,0,0,0,-
410176034,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176035,正常,正常,正常,正常,正常,正常,正常,正常,1.都市計畫; ,-,1.分區使用管制; ,-,-,-,-,-,3,0,2,0,0,0,0,0,-
410176036,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.客家族群文化與社會變遷; 2.民法概要; ,1.民法物權編（一）; 2.體育：室內飛輪; 3.環境規劃; ,1.都市交通運輸計畫; ,-,-,1.體育：室內飛輪; ,-,3,5,4,2,0,0,0,0,-
410176037,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.土地法; ,-,-,-,-,-,0,0,2,0,0,0,0,0,-
410176038,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,1.環境規劃; ,-,-,-,-,-,3,3,2,0,0,0,0,0,★★★ 需關懷
410176039,正常,正常,正常,正常,正常,正常,正常,正常,1.都市計畫; ,-,-,-,-,-,-,-,3,0,0,0,0,0,0,0,-
410176040,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; 2.環境保育與水土保持（一）; 3.國文：經典閱讀與詮釋; ,1.經濟學; 2.民法概要; ,-,-,-,-,-,-,8,6,0,0,0,0,0,0,-
410176041,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176042,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,1.環境規劃; ,-,-,-,-,-,3,3,2,0,0,0,0,0,-
410176043,休學,休學,休學,休學,正常,正常,正常,-,1.不動產管理; 2.國文：經典閱讀與詮釋; 3.環境保育與水土保持（一）; 4.都市計畫; 5.經濟學; ,-,1.都市計畫; 2.體育：室內飛輪; 3.國文：經典閱讀與詮釋; ,-,1.經濟學; 2.科學史; 3.歷史; ,1.都市計畫; ,1.自然災害與衛星資訊; ,-,13,0,6,0,7,3,2,0,-
410176044,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176045,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.土地法; ,-,-,-,-,-,0,0,2,0,0,0,0,0,-
410176046,正常,正常,正常,正常,正常,正常,正常,正常,1.國文：經典閱讀與詮釋; ,1.民法概要; ,1.環境規劃; ,-,-,-,-,-,3,3,2,0,0,0,0,0,-
410176047,正常,正常,正常,正常,正常,正常,休學,休學,-,1.大學英文：英語聽講練習; 2.經濟學; 3.民法概要; ,1.土地法; ,-,1.不動產投資; ,1.體育：羽球; 2.生涯管理; ,1.體育：室內飛輪; 2.國際政治與國際關係; ,-,0,7,2,0,2,2,2,0,-
410176048,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,★
410176049,正常,正常,正常,正常,正常,正常,正常,正常,1.都市計畫; ,1.經濟學; 2.體育：網球; ,1.環境規劃; ,-,1.體育：室內飛輪; ,-,-,-,3,3,2,0,0,0,0,0,-
410176050,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176051,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176052,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176053,正常,正常,正常,正常,正常,正常,正常,正常,1.都市計畫; ,1.都市計畫; ,1.土地法; ,-,-,-,-,-,3,3,2,0,0,0,0,0,-
410176054,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176055,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176056,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176057,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.民法物權編（一）; 2.環境規劃; ,-,-,-,-,-,0,0,4,0,0,0,0,0,-
410176058,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,1.民法物權編（一）; 2.環境規劃; ,1.都市交通運輸計畫; ,1.土地經濟學; ,1.土地經濟學; ,-,-,3,3,4,2,2,2,0,0,-
410176059,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.土地法; 2.民法物權編（一）; ,-,-,-,-,-,0,0,4,0,0,0,0,0,-
410176060,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,1.不動產財務管理; 2.體育：桌球; 3.環境規劃; ,-,-,1.土地法; ,-,-,0,3,4,0,0,2,0,0,-
410176061,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.體育：室內飛輪; ,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176062,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176063,正常,正常,正常,正常,正常,正常,正常,正常,-,1.經濟學; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176064,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176065,正常,正常,正常,正常,正常,正常,正常,正常,1.都市計畫; ,-,1.環境規劃; ,1.體育：羽球; 2.閱讀‧悅讀; ,-,1.體育：室內飛輪; ,-,-,3,0,2,2,0,0,0,0,-
410176066,正常,正常,正常,正常,正常,正常,正常,正常,-,1.電腦輔助繪圖; 2.民法概要; ,-,-,1.不動產投資; ,-,-,-,0,5,0,0,2,0,0,0,-
410176067,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.土地法; ,-,-,-,-,-,0,0,2,0,0,0,0,0,★★★ 需關懷
410176068,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,1.體育：室內飛輪; ,1.建築空間規劃與設計; ,1.體育：桌球; ,-,-,1.看影集學賽局; ,3,3,0,2,0,0,0,2,-
410176069,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.民法物權編（一）; 2.環境規劃; ,-,-,-,-,-,0,0,4,0,0,0,0,0,-
410176070,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176071,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.環境規劃; ,-,-,-,-,-,0,0,2,0,0,0,0,0,-
410176072,正常,正常,正常,-,-,-,-,-,1.經濟學; 2.民法概要; ,1.民法概要; ,-,-,-,-,-,-,6,3,0,0,0,0,0,0,-
410176073,正常,正常,正常,正常,正常,正常,正常,正常,-,1.創意與設計; ,-,-,-,-,-,-,0,2,0,0,0,0,0,0,-
410176074,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176075,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,1.民法物權編（一）; 2.分區使用管制; ,-,-,-,-,-,0,3,4,0,0,0,0,0,-
410176077,正常,正常,正常,正常,正常,正常,正常,正常,-,1.都市計畫; 2.經濟學; ,1.土地法; 2.體育：桌球; 3.環境規劃; ,-,1.不動產投資; ,-,-,-,0,6,4,0,2,0,0,0,-
410176078,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,1.環境規劃; ,-,-,-,-,-,0,3,2,0,0,0,0,0,-
410176079,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.土地法; ,-,-,-,-,-,0,0,2,0,0,0,0,0,-
410176080,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; 2.國文：經典閱讀與詮釋; ,1.民法概要; 2.經濟學; ,-,1.都市交通運輸計畫; ,-,-,-,1.藝術欣賞; ,6,6,0,2,0,0,0,2,-
410176082,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176083,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.民法物權編（一）; ,-,-,-,-,-,0,0,2,0,0,0,0,0,-
410176084,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,-,-,-,-,-,-,-,3,0,0,0,0,0,0,0,-
410176085,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176086,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176087,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,1.土地法; 2.環境規劃; 3.體育：桌球; ,-,-,-,-,-,0,3,4,0,0,0,0,0,-
410176088,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.經濟學; 2.民法概要; ,1.環境規劃; ,1.都市交通運輸計畫; ,1.不動產投資; ,-,1.多元文化與社會正義; ,-,3,6,2,2,2,0,2,0,-
410176089,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.土地法; ,-,-,-,-,-,0,0,2,0,0,0,0,0,-
410176090,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; 2.經濟學; ,1.環境規劃; ,-,-,1.土地法; 2.生涯管理; ,-,-,0,6,2,0,0,4,0,0,-
410176091,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176092,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176093,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176094,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; 2.國文：經典閱讀與詮釋; ,1.民法概要; ,1.民法物權編（一）; 2.不動產財務管理; ,-,-,-,-,-,6,3,4,0,0,0,0,0,-
410176095,正常,正常,正常,正常,正常,正常,正常,正常,1.都市計畫; ,-,-,-,-,-,-,-,3,0,0,0,0,0,0,0,-
410176097,正常,正常,正常,正常,正常,正常,正常,正常,-,1.經濟學; ,1.土地法; ,-,-,-,-,-,0,3,2,0,0,0,0,0,-
410176099,正常,正常,正常,正常,-,-,-,-,-,1.經濟學; 2.測量學; 3.大學英文：英語聽講練習; 4.都市計畫; 5.民法概要; ,1.體育：桌球; 2.國文：經典閱讀與詮釋; ,-,-,-,-,-,0,13,3,0,0,0,0,0,-
410176100,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176101,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176102,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176103,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,★
410176104,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; 2.經濟學; ,-,-,-,-,-,1.民法概要; ,3,6,0,0,0,0,0,3,-
410176105,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,1.個體經濟學; ,-,-,-,0,0,0,0,3,0,0,0,-
410176106,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176107,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176108,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176109,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.土地法; ,-,-,-,-,-,0,0,2,0,0,0,0,0,-
410176110,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,1.環境規劃; ,-,-,-,-,-,3,3,2,0,0,0,0,0,-
410176111,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.民法物權編（一）; 2.分區使用管制; 3.環境規劃; ,-,-,-,-,-,0,0,6,0,0,0,0,0,★
410176112,正常,正常,正常,正常,正常,正常,正常,正常,1.民法概要; ,1.民法概要; ,1.分區使用管制; 2.環境規劃; ,1.都市交通運輸計畫; ,-,-,-,-,3,3,4,2,0,0,0,0,-
410176113,正常,正常,正常,正常,正常,正常,正常,正常,-,1.都市計畫; 2.經濟學; ,-,-,-,-,-,-,0,6,0,0,0,0,0,0,-
410176114,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176115,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176116,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176117,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,1.不動產投資; ,-,-,-,0,0,0,0,2,0,0,0,-
410176118,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; ,-,-,-,-,-,-,0,3,0,0,0,0,0,0,-
410176119,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176120,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176121,正常,正常,正常,正常,正常,正常,正常,正常,1.都市計畫; ,1.經濟學; ,-,-,-,-,-,-,3,3,0,0,0,0,0,0,-
410176122,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176123,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176124,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176125,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176126,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176127,正常,正常,正常,正常,正常,-,-,-,1.經濟學; 2.都市計畫; ,1.體育：校隊(男羽); 2.民法概要; ,1.經濟學; ,1.建築空間規劃與設計; 2.經濟學; 3.閱讀‧悅讀; 4.體育：網球; ,1.土地經濟學; 2.體育：羽球; ,-,-,-,6,3,3,7,2,0,0,0,-
410176128,正常,正常,正常,正常,正常,正常,正常,正常,1.經濟學; 2.國文; 3.民法概要; 4.環境保育與水土保持（一）; ,1.經濟學; ,1.民法概要; 2.環境規劃; ,1.經濟學; ,1.土地經濟學; ,1.土地經濟學; ,1.分區使用管制; ,-,11,3,5,3,2,2,2,0,-
410176129,正常,正常,正常,正常,正常,正常,正常,正常,-,1.民法概要; 2.經濟學; ,-,1.經濟學; 2.體育：網球; ,-,-,-,-,0,6,0,3,0,0,0,0,-
410176130,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410176131,正常,正常,正常,正常,正常,正常,正常,正常,-,1.都市計畫; 2.經濟學; ,1.土地法; 2.民法物權編（一）; 3.環境規劃; 4.體育：桌球; ,-,1.不動產投資; ,-,-,-,0,6,6,0,2,0,0,0,-
410176132,正常,正常,正常,正常,正常,正常,正常,正常,1.國文; 2.民法概要; 3.經濟學; ,1.經濟學; ,1.社會思想史; ,1.閱讀‧悅讀; ,1.人口學; ,-,1.佛學概論; ,-,9,3,3,2,3,0,2,0,-
410177001,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410177002,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-
410177003,正常,正常,正常,正常,-,-,-,-,1.會計學; 2.大學英文：英語聽講練習; ,1.體育：網球; ,1.全民國防教育軍事訓練課程：防衛動員; 2.電腦概論; 3.微積分; ,-,-,-,-,-,4,0,7,0,0,0,0,0,-
410177004,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.個體經濟學; ,1.世界音樂與多元文化; ,-,-,-,-,0,0,3,2,0,0,0,0,-
410177005,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.個體經濟學; 2.中級會計學; ,-,-,-,-,1.營養與保健; ,0,0,7,0,0,0,0,2,-
410177006,正常,正常,正常,正常,正常,正常,正常,正常,1.國文：經典閱讀與詮釋; ,-,-,-,-,-,1.高級會計學; ,-,3,0,0,0,0,0,3,0,-
410177007,正常,正常,正常,正常,正常,正常,正常,正常,-,-,1.個體經濟學; 2.中級會計學; ,1.中級會計學; 2.統計學; ,-,-,-,1.高級會計學; ,0,0,7,7,0,0,0,3,-
